Fullerton Municipal, CA, USA
month,day,hour,Dry Bulb Temp,Wet Bulb Temp,Rel Humidity,Wind Speed,Wind Direction,
 , , ,degrees F,degrees F,percent,mph,degrees,
1,1,1,42.8,37.3,60.0,0.0,0.0,
1,1,2,42.8,37.3,60.0,5.816023,90.0,
1,1,3,42.8,37.3,60.0,4.697557,90.0,
1,1,4,42.8,38.8,70.0,0.0,0.0,
1,1,5,41.0,37.75,75.0,0.0,0.0,
1,1,6,42.8,37.3,60.0,3.3553982,90.0,
1,1,7,42.8,37.3,60.0,5.816023,90.0,
1,1,8,46.4,40.56667,61.0,0.0,0.0,
1,1,9,48.2,41.7,57.0,6.9344893,90.0,
1,1,10,53.6,43.766666,44.0,3.3553982,90.0,
1,1,11,59.0,45.666668,33.0,3.3553982,80.0,
1,1,12,60.8,45.8,28.0,0.0,0.0,
1,1,13,62.6,48.1,32.0,4.697557,290.0,
1,1,14,64.4,49.4,32.0,4.697557,210.0,
1,1,15,62.6,47.35,29.0,6.9344893,210.0,
1,1,16,62.6,48.6,34.0,6.9344893,200.0,
1,1,17,59.0,51.25,59.0,4.697557,230.0,
1,1,18,55.4,51.4,77.0,3.3553982,210.0,
1,1,19,53.6,50.6,82.0,0.0,0.0,
1,1,20,51.8,48.966667,82.0,0.0,0.0,
1,1,21,51.8,48.966667,82.0,0.0,0.0,
1,1,22,50.0,48.0,87.0,0.0,0.0,
1,1,23,48.2,46.2,87.0,0.0,0.0,
1,1,24,48.2,46.2,87.0,0.0,0.0,
1,2,1,48.2,46.2,87.0,5.816023,80.0,
1,2,2,48.2,46.2,87.0,3.3553982,90.0,
1,2,3,50.0,47.166668,82.0,0.0,0.0,
1,2,4,51.8,48.966667,82.0,3.3553982,90.0,
1,2,5,51.8,48.966667,82.0,3.3553982,120.0,
1,2,6,51.8,48.966667,82.0,4.697557,80.0,
1,2,7,53.6,48.766666,71.0,5.816023,100.0,
1,2,8,51.8,48.966667,82.0,6.9344893,70.0,
1,2,9,51.8,49.8,87.0,12.750512,70.0,
1,2,10,51.8,50.8,94.0,10.289887,80.0,
1,2,11,51.8,49.8,87.0,9.171421,70.0,
1,2,12,51.8,49.8,87.0,8.052955,60.0,
1,2,13,51.8,49.8,87.0,9.171421,80.0,
1,2,14,51.8,50.8,94.0,5.816023,60.0,
1,2,15,51.8,50.8,94.0,10.289887,80.0,
1,2,16,51.8,50.8,94.0,5.816023,70.0,
1,2,17,53.6,51.6,88.0,5.816023,70.0,
1,2,18,53.6,51.6,88.0,0.0,0.0,
1,2,19,53.6,52.6,94.0,0.0,0.0,
1,2,20,53.6,51.6,88.0,0.0,0.0,
1,2,21,53.6,51.6,88.0,0.0,0.0,
1,2,22,53.6,52.6,94.0,0.0,0.0,
1,2,23,53.6,52.6,94.0,0.0,0.0,
1,2,24,53.6,52.6,94.0,0.0,0.0,
1,3,1,51.8,48.966667,82.0,4.697557,260.0,
1,3,2,48.2,46.2,87.0,0.0,0.0,
1,3,3,48.2,46.2,87.0,0.0,0.0,
1,3,4,44.6,43.6,93.0,0.0,0.0,
1,3,5,44.6,43.6,93.0,0.0,0.0,
1,3,6,42.8,41.8,93.0,0.0,0.0,
1,3,7,41.0,40.166668,93.0,0.0,0.0,
1,3,8,44.6,43.6,93.0,3.3553982,60.0,
1,3,9,50.0,46.25,76.0,3.3553982,10.0,
1,3,10,53.6,42.35,37.0,12.750512,310.0,
1,3,11,57.2,42.95,27.0,10.289887,310.0,
1,3,12,57.2,42.7,25.0,9.171421,310.0,
1,3,13,60.8,43.8,20.0,12.750512,300.0,
1,3,14,60.8,43.8,20.0,10.289887,300.0,
1,3,15,60.8,43.55,19.0,13.8689785,300.0,
1,3,16,59.0,42.166668,18.0,11.408353,280.0,
1,3,17,55.4,40.9,23.0,6.9344893,290.0,
1,3,18,53.6,40.266666,26.0,8.052955,290.0,
